,Requirements for,ENGINEERING DESIGN,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade"
2,HSSA Requirements,20 credits,,,,
3,   HSSA #1,,Humanities & Arts (H),4 credits,,
4,   HSSA #2  ,,Social Sciences (S),4 credits,,
5,   HSSA #3  ,,H or S or Language (L),4 credits,,
6,   HSSA #4  ,,H or S or Language (L),4 credits,,
7,   HSSA #5,,H or S or Language (L),4 credits,,
8,General Requirements,44 credits,,,,
9,   CHEM 111 & Lab,,"Chemistry I    (Lect @ 3, Lab @ 1)",4 credits,,
10,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,
11,   MA 111,,Calculus I,5 credits,,
12,   MA 112,,Calculus II,5 credits,,
13,   MA 113,,Calculus III,5 credits,,
14,   MA 221,,Matrix Algebra & Diff Equations I,4 credits,,
15,   MA 222,,Matrix Algebra & Diff Equations II,4 credits,,
16,   MA 223,,Engineering Statistics I,4 credits,,
17,   PH 111,,Physics I,4 credits,,
18,   PH 112,,Physics II,4 credits,,
19,   BIO Elective,,Biology Elective with lab,4 credits,,
20,ENGD Requirements,112 credits,,,,
21,  BE 211,,"Circuits, Sensors & Measurements",3 credits,,
22,  BE 222,,Mechanics of Materials,4 credits,,
23,  ENGD 100,,Design & Communication Studio,8 credits,,
24,  ENGD 110,,"Circuits, Softw Dev & Societal Imp",6 credits,,
25,  ENGD 120,,"Integrating Electrical, Software, and Societal Systems",6 credits,,
26,  ENGD 150,,Independent Study,2 credits,,
27,  ENGD 151,,Matlab for Problem Solving,1 credits,,
28,  ENGD 205,,Systems Accounting & Modeling I,3 credits,,
29,  ENGD 215,,Systems Accounting & Modeling II,3 credits,,
30,  ENGD 240,,User Experience Design Studio,6 credits,,
31,  ENGD 250,,Human-Computer Interface Studio,6 credits,,
32,  ENGD 260,,Product Design Studio,6 credits,,
33,  ENGD 270,,Vertically Integrated Project I,2 credits,,
34,  ENGD 271,,Vertically Integrated Project II,2 credits,,
35,  ENGD 300,,Engineering Design Practicum I,4 credits,,
36,  ENGD 301,,Engineering Design Practicum II,4 credits,,
37,  ENGD 302,,Engineering Design Practicum III,4 credits,,
38,  ENGD 303,,Engineering Design Practicum IV,4 credits,,
39,  IA 299,,Social Capstone,2 credits,,
40,  MDS 410,,Multidisciplinary Capstone Desn I,4 credits,,
41,  MDS 420,,Multidisciplinary Capstone Desn II,4 credits,,
42,  MDS 430,,Multidisciplinary Capstone Desn III,4 credits,,
43,,,Concentration Course 1,4 credits,,
44,,,Concentration Course 2,4 credits,,
45,,,Concentration Course 3,4 credits,,
46,,,Concentration Course 4,4 credits,,
47,,,Concentration Course 5,4 credits,,
48,,,Concentration Course 6,4 credits,,
49,Electives,8 credits,,,,
50,,,Math/Science Elective,4 credits,,
51,,,Math/Science Elective,4 credits,,
52,,184 credits, - EE Total Credit Hours Required -,184 credits,,
